iter	Passed	Remaining
0	2	2461
1	6	3070
2	9	3232
3	13	3434
4	17	3483
5	21	3557
6	26	3715
7	30	3739
8	33	3709
9	37	3734
10	41	3736
11	45	3732
12	48	3715
13	52	3722
14	56	3736
15	60	3720
16	63	3695
17	67	3693
18	71	3690
19	75	3690
20	78	3674
21	82	3664
22	87	3697
23	90	3693
24	94	3688
25	97	3670
26	102	3680
27	107	3725
28	111	3748
29	115	3736
30	120	3759
31	124	3761
32	128	3758
33	134	3828
34	138	3805
35	141	3776
36	144	3749
37	147	3737
38	150	3719
39	154	3698
40	157	3677
41	160	3663
42	164	3658
43	167	3644
44	171	3631
45	174	3614
46	177	3605
47	182	3618
48	186	3620
49	190	3617
50	194	3621
51	199	3628
52	202	3626
53	207	3627
54	211	3628
55	215	3628
56	219	3623
57	222	3619
58	226	3607
59	229	3595
60	232	3579
61	235	3562
62	238	3548
63	241	3535
64	245	3527
65	248	3513
66	251	3505
67	255	3501
68	259	3504
69	263	3497
70	267	3504
71	271	3500
72	275	3503
73	280	3508
74	284	3511
75	288	3503
76	292	3510
77	298	3523
78	302	3526
79	307	3536
80	313	3558
81	316	3548
82	320	3543
83	324	3541
84	328	3532
85	331	3520
86	334	3511
87	337	3501
88	341	3495
89	344	3485
90	347	3472
91	350	3461
92	354	3455
93	358	3457
94	362	3449
95	364	3436
96	367	3424
97	371	3416
98	374	3407
99	377	3397
100	380	3387
101	383	3376
102	388	3380
103	392	3378
104	395	3371
105	398	3362
106	402	3358
107	405	3349
108	408	3340
109	411	3329
110	415	3324
111	418	3318
112	421	3310
113	424	3299
114	427	3288
115	430	3277
116	433	3272
117	436	3263
118	439	3254
119	443	3250
120	446	3243
121	449	3235
122	452	3226
123	455	3217
124	458	3212
125	461	3204
126	465	3201
127	468	3193
128	472	3190
129	476	3186
130	479	3179
131	483	3177
132	487	3174
133	491	3176
134	495	3175
135	500	3177
136	505	3181
137	507	3173
138	511	3169
139	516	3174
140	521	3176
141	524	3167
142	528	3169
143	532	3165
144	535	3158
145	539	3154
146	543	3156
147	547	3152
148	550	3145
149	554	3141
150	557	3134
151	561	3132
152	564	3127
153	568	3120
154	571	3114
155	574	3108
156	577	3102
157	580	3093
158	583	3084
159	585	3075
160	588	3066
161	592	3064
162	595	3060
163	598	3052
164	601	3044
165	604	3036
166	608	3033
167	611	3026
168	614	3019
169	617	3012
170	620	3006
171	623	3001
172	626	2994
173	629	2988
174	632	2981
175	635	2975
176	638	2969
177	641	2964
178	644	2958
179	647	2951
180	651	2946
181	654	2941
182	658	2938
183	661	2933
184	665	2930
185	668	2925
186	671	2920
187	675	2916
188	678	2909
189	682	2908
190	686	2905
191	689	2903
192	698	2919
193	702	2918
194	726	2999
195	728	2989
196	731	2981
197	734	2974
198	737	2969
199	740	2962
200	743	2956
201	746	2949
202	749	2942
203	752	2937
204	755	2931
205	759	2926
206	762	2919
207	764	2912
208	767	2905
209	771	2900
210	774	2894
211	776	2887
212	779	2880
213	782	2874
214	785	2868
215	788	2862
216	791	2855
217	794	2849
218	797	2844
219	801	2840
220	804	2835
221	807	2829
222	810	2823
223	813	2818
224	816	2813
225	819	2806
226	822	2801
227	825	2794
228	828	2787
229	831	2782
230	834	2777
231	837	2771
232	840	2765
233	842	2759
234	846	2754
235	849	2748
236	851	2742
237	854	2736
238	857	2730
239	861	2727
240	865	2724
241	868	2720
242	871	2714
243	874	2708
244	878	2706
245	881	2702
246	885	2698
247	888	2693
248	891	2687
249	894	2682
250	898	2680
251	901	2675
252	904	2670
253	907	2665
254	911	2661
255	914	2656
256	916	2650
257	919	2645
258	922	2640
259	925	2635
260	928	2629
261	931	2623
262	934	2619
263	937	2614
264	940	2608
265	943	2604
266	946	2598
267	949	2593
268	952	2588
269	955	2583
270	958	2578
271	961	2574
272	964	2569
273	967	2564
274	970	2558
275	973	2553
276	976	2549
277	979	2544
278	982	2539
279	985	2534
280	988	2529
281	1007	2565
282	1011	2562
283	1014	2558
284	1017	2553
285	1020	2548
286	1024	2545
287	1027	2540
288	1030	2534
289	1033	2529
290	1036	2524
291	1039	2520
292	1042	2515
293	1045	2509
294	1048	2506
295	1051	2501
296	1055	2498
297	1058	2493
298	1061	2488
299	1065	2486
300	1069	2483
301	1072	2477
302	1074	2472
303	1077	2467
304	1081	2463
305	1084	2459
306	1089	2459
307	1092	2455
308	1096	2451
309	1099	2447
310	1102	2442
311	1105	2438
312	1108	2433
313	1111	2428
314	1114	2423
315	1117	2419
316	1120	2414
317	1123	2409
318	1126	2404
319	1129	2399
320	1131	2394
321	1135	2389
322	1137	2385
323	1140	2380
324	1143	2375
325	1146	2370
326	1149	2366
327	1152	2361
328	1155	2357
329	1159	2353
330	1161	2348
331	1165	2344
332	1168	2340
333	1171	2335
334	1173	2330
335	1176	2325
336	1179	2320
337	1182	2316
338	1185	2312
339	1188	2307
340	1191	2302
341	1194	2298
342	1197	2293
343	1200	2289
344	1203	2285
345	1206	2280
346	1209	2275
347	1212	2271
348	1215	2267
349	1218	2262
350	1221	2258
351	1224	2253
352	1226	2248
353	1230	2244
354	1233	2240
355	1235	2235
356	1238	2230
357	1241	2226
358	1244	2222
359	1248	2218
360	1251	2214
361	1253	2209
362	1256	2204
363	1259	2200
364	1263	2197
365	1266	2193
366	1269	2189
367	1271	2184
368	1274	2179
369	1279	2178
370	1282	2174
371	1285	2169
372	1288	2165
373	1291	2161
374	1295	2158
375	1299	2156
376	1302	2152
377	1305	2148
378	1308	2144
379	1312	2141
380	1315	2137
381	1318	2133
382	1321	2128
383	1324	2124
384	1327	2120
385	1330	2116
386	1333	2111
387	1336	2107
388	1339	2103
389	1342	2099
390	1345	2095
391	1348	2091
392	1351	2087
393	1354	2083
394	1357	2079
395	1360	2074
396	1362	2070
397	1365	2065
398	1368	2061
399	1371	2056
400	1374	2052
401	1377	2048
402	1379	2044
403	1382	2039
404	1385	2035
405	1388	2031
406	1392	2028
407	1394	2023
408	1397	2019
409	1400	2015
410	1403	2011
411	1406	2007
412	1409	2003
413	1412	1999
414	1415	1995
415	1418	1990
416	1420	1986
417	1424	1982
418	1426	1978
419	1429	1974
420	1432	1970
421	1435	1966
422	1439	1963
423	1443	1960
424	1446	1956
425	1450	1954
426	1457	1955
427	1460	1952
428	1464	1948
429	1466	1944
430	1472	1943
431	1483	1950
432	1517	1986
433	1526	1990
434	1557	2023
435	1561	2019
436	1568	2020
437	1612	2069
438	1652	2112
439	1668	2123
440	1678	2127
441	1688	2131
442	1693	2129
443	1709	2140
444	1717	2141
445	1734	2154
446	1768	2187
447	1778	2191
448	1786	2191
449	1833	2241
450	1838	2238
451	1841	2232
452	1848	2231
453	1881	2262
454	1885	2257
455	1888	2252
456	1894	2251
457	1922	2275
458	1928	2273
459	1932	2268
460	1936	2263
461	1944	2264
462	1949	2261
463	1953	2256
464	1966	2262
465	1971	2258
466	1975	2254
467	1978	2249
468	1982	2244
469	1985	2238
470	1990	2235
471	1993	2230
472	1996	2224
473	1999	2219
474	2005	2216
475	2008	2211
476	2011	2205
477	2014	2200
478	2022	2199
479	2026	2195
480	2030	2190
481	2038	2190
482	2071	2217
483	2076	2213
484	2082	2210
485	2096	2217
486	2103	2215
487	2106	2209
488	2109	2204
489	2115	2201
490	2118	2196
491	2121	2190
492	2125	2185
493	2131	2182
494	2135	2178
495	2138	2172
496	2140	2166
497	2147	2164
498	2151	2160
499	2154	2154
500	2157	2148
501	2163	2145
502	2167	2142
503	2171	2136
504	2174	2131
505	2179	2127
506	2182	2122
507	2186	2117
508	2189	2111
509	2194	2107
510	2244	2147
511	2247	2142
512	2251	2136
513	2254	2131
514	2258	2127
515	2262	2122
516	2266	2117
517	2268	2111
518	2273	2106
519	2276	2101
520	2279	2095
521	2281	2089
522	2285	2084
523	2292	2082
524	2295	2076
525	2307	2078
526	2311	2074
527	2315	2069
528	2320	2065
529	2323	2060
530	2326	2054
531	2328	2048
532	2331	2042
533	2336	2038
534	2339	2033
535	2342	2027
536	2345	2022
537	2348	2016
538	2358	2016
539	2360	2011
540	2363	2005
541	2368	2001
542	2370	1995
543	2373	1989
544	2376	1984
545	2379	1978
546	2384	1974
547	2387	1969
548	2391	1964
549	2393	1958
550	2397	1954
551	2401	1949
552	2404	1943
553	2407	1937
554	2409	1932
555	2413	1927
556	2418	1923
557	2420	1917
558	2423	1912
559	2426	1906
560	2431	1902
561	2434	1897
562	2437	1892
563	2440	1886
564	2442	1880
565	2447	1876
566	2450	1871
567	2453	1865
568	2455	1860
569	2458	1854
570	2463	1850
571	2466	1845
572	2468	1839
573	2471	1834
574	2474	1828
575	2482	1827
576	2485	1822
577	2489	1817
578	2494	1814
579	2498	1809
580	2502	1804
581	2505	1799
582	2512	1797
583	2516	1792
584	2521	1788
585	2528	1786
586	2532	1781
587	2535	1776
588	2537	1770
589	2543	1767
590	2546	1762
591	2549	1757
592	2552	1751
593	2555	1746
594	2559	1742
595	2562	1736
596	2565	1731
597	2567	1726
598	2571	1721
599	2575	1716
600	2578	1711
601	2581	1706
602	2583	1701
603	2587	1696
604	2591	1691
605	2594	1686
606	2596	1681
607	2599	1676
608	2603	1671
609	2607	1667
610	2610	1661
611	2612	1656
612	2615	1651
613	2619	1646
614	2623	1642
615	2625	1636
616	2628	1631
617	2631	1626
618	2634	1621
619	2654	1626
620	2657	1621
621	2659	1616
622	2662	1611
623	2665	1605
624	2670	1602
625	2673	1597
626	2675	1591
627	2678	1586
628	2680	1581
629	2701	1586
630	2704	1581
631	2707	1576
632	2710	1571
633	2713	1566
634	2717	1562
635	2727	1561
636	2733	1557
637	2736	1552
638	2739	1547
639	2742	1542
640	2745	1537
641	2749	1533
642	2752	1528
643	2755	1522
644	2758	1517
645	2761	1513
646	2764	1508
647	2767	1503
648	2770	1498
649	2773	1493
650	2776	1488
651	2780	1484
652	2783	1479
653	2786	1474
654	2788	1469
655	2791	1463
656	2796	1459
657	2798	1454
658	2801	1449
659	2803	1444
660	2806	1439
661	2809	1434
662	2813	1430
663	2816	1425
664	2819	1420
665	2821	1415
666	2824	1410
667	2828	1405
668	2831	1400
669	2833	1395
670	2836	1390
671	2839	1385
672	2843	1381
673	2846	1377
674	2849	1372
675	2852	1367
676	2855	1362
677	2859	1358
678	2864	1354
679	2868	1349
680	2872	1345
681	2879	1342
682	2882	1337
683	2884	1332
684	2888	1328
685	2892	1323
686	2894	1318
